text_1	text_2	y
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Não ser capaz de impedir ou de controlar as preocupações	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Preocupar-se muito com diversas coisas	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Dificuldade para relaxar	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Ficar tão agitado/a que se torna difícil permanecer sentado/a	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Ficar facilmente aborrecido/a ou irritado/a	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Sentir medo como se algo horrível fosse acontecer	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Feeling nervous, anxious, or on edge	1
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Not being able to stop or control worrying	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Worrying too much about different things	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Trouble relaxing	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Being so restless that it is hard to sit still	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Becoming easily annoyed or irritable	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Feeling afraid, as if something awful might happen	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Sentiment de nervosité, d’anxiété ou de tension	1
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Incapable d’arrêter de vous inquiéter ou de contrôler vos inquiétudes	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Inquiétudes excessives à propos de tout et de rien	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Difficulté à se détendre	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Agitation telle qu’il est difficile de rester tranquille	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Devenir facilement contrarié(e) ou irritable	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Avoir peur que quelque chose d’épouvantable puisse arriver	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Nervosität, Ängstlichkeit oder Anspannung	1
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Nicht in der Lage sein, Sorgen zu stoppen oder zu kontrollieren	0
Sentir-se nervoso/a, ansioso/a ou muito tenso/a	Übermäßige Sorgen bezüglich verschiedener Angelegenheiten	0
