text_1	text_2	y
Are you constantly keyed up and jittery	Are you easily upset or irritated	0
Are you constantly keyed up and jittery	Are you frightened of going out alone or of meeting people	0
Are you constantly keyed up and jittery	Are you scared to be alone when there are not friends near you	0
Are you constantly keyed up and jittery	Are you selfconscious in public	0
Are you constantly keyed up and jittery	Are you troubled with rheumatism or fibrosis	0
Are you constantly keyed up and jittery	Been able to concentrate on whatever you're doing	0
Are you constantly keyed up and jittery	Been able to enjoy your normal daytoday activites	0
Are you constantly keyed up and jittery	Been able to enjoy your normal daytoday activities	0
Are you constantly keyed up and jittery	Been able to face up to your problems	0
Are you constantly keyed up and jittery	Been feeling in need of a good tonic	0
Are you constantly keyed up and jittery	Been feeling nervous and strungup all the time	1
Are you constantly keyed up and jittery	Been feeling perfectly well and in good health	0
Are you constantly keyed up and jittery	Been feeling reasonably happy, all things considered	0
Are you constantly keyed up and jittery	Been feeling run down and out of sorts	0
Are you constantly keyed up and jittery	Been feeling unhappy and depressed	0
Are you constantly keyed up and jittery	Been getting a feeling of tightness or pressure in your head	1
Are you constantly keyed up and jittery	Been getting any pains in your head	0
Are you constantly keyed up and jittery	Been getting edgy and badtemptered	0
Are you constantly keyed up and jittery	Been getting scared or panicky for no good reason	0
Are you constantly keyed up and jittery	Been having hot or cold spells	0
Are you constantly keyed up and jittery	Been losing confidence in yourself	0
Are you constantly keyed up and jittery	Been manging to keep yourself busy and occupied	0
Are you constantly keyed up and jittery	Been satisfied with the way you've carried out your task	0
Are you constantly keyed up and jittery	Been taking longer over things you do	0
Are you constantly keyed up and jittery	Been thinking of yourself as a worthless person	0
Are you constantly keyed up and jittery	Did you feel full of life	0
Are you constantly keyed up and jittery	Did you feel tired	0
Are you constantly keyed up and jittery	Did you feel worn out	0
Are you constantly keyed up and jittery	Did you have a lot of energy	0
Are you constantly keyed up and jittery	Do people annoy and irritate you	0
Are you constantly keyed up and jittery	Do you feel tired most of the time	0
Are you constantly keyed up and jittery	Do you find it difficult to make decisions about trivial things	0
Are you constantly keyed up and jittery	Do you have any special fears, like some people are scared of feathers, or cats, or spiders, or birds	0
Are you constantly keyed up and jittery	Do you keep reasonably cheerful or have you been very depressed or low spirited recently Have you cried at all (Rate depressed mood)	0
Are you constantly keyed up and jittery	Do you often feel depressed	0
Are you constantly keyed up and jittery	Do you often feel miserable or depressed	0
Are you constantly keyed up and jittery	Do you often feel on edge, or keyed up, or mentally tense or strained	1
Are you constantly keyed up and jittery	Do you often feel tired most of the time	0
