text_1	text_2	y
A dare devil	A poor worker or lazy	0
A dare devil	A quarrelsome and aggressive child	0
A dare devil	A timid child	0
A dare devil	A very hard worker	0
A dare devil	Always tired and washed out	0
A dare devil	Appears Miserable or Tearful	0
A dare devil	Are you constantly keyed up and jittery	0
A dare devil	Are you easily upset or irritated	0
A dare devil	Are you frightened of going out alone or of meeting people	0
A dare devil	Are you scared to be alone when there are not friends near you	0
A dare devil	As cautious as the average child	1
A dare devil	Average concentration	0
A dare devil	Average moderately neat and tidy	0
A dare devil	Averagenot particularly quarrelsome	0
A dare devil	Averageworks moderately well	0
A dare devil	Avoids attention, hates being in the limelight	0
A dare devil	Becomes obsessional about unimportant things	0
A dare devil	Been able to concentrate on whatever you're doing	0
A dare devil	Been able to enjoy your normal daytoday activites	0
A dare devil	Been able to face up to your problems	0
A dare devil	Been feeling reasonably happy, all things considered	0
A dare devil	Been feeling unhappy and depressed	0
A dare devil	Been losing confidence in yourself	0
A dare devil	Been thinking of yourself as a worthless person	0
A dare devil	Bites Nails or Fingers	0
A dare devil	Bites nails	0
A dare devil	Bites or Kicks Other Children	0
A dare devil	Blames Other for Things	0
A dare devil	Bullies Other Children	0
A dare devil	Can be spiteful to others	0
A dare devil	Cannot settle to anything for more than a few moments	0
A dare devil	Changes mood quickly and drastically	0
A dare devil	Child appears miserable, unhappy, tearful or distressed	0
A dare devil	Child bites their nails or fingers	0
A dare devil	Child bullies other children	0
A dare devil	Child cannot settle to do anything for more than a few moments	0
A dare devil	Child destroys her own things or those belonging to others	0
A dare devil	Child fights with other children	0
A dare devil	Child is afraid of new things or new situations	1
A dare devil	Child is disobedient	0
A dare devil	Child is fussy or overparticular	0
A dare devil	Child is irritable Is quick to fly off the handle	0
A dare devil	Child is not much liked by other children	0
A dare devil	Child is rather solitary	0
A dare devil	Child is squirmy or fidgety	0
A dare devil	Child is very restless, hardly ever still	0
A dare devil	Child laughs a lot	0
A dare devil	Child likes a cuddle	0
A dare devil	Child likes to sit and watch TV rather than play active games	0
A dare devil	Child really enjoys life	0
A dare devil	Child smiles when child sees their parent(s)	0
A dare devil	Child takes things belonging to others	0
A dare devil	Child tells lies	0
A dare devil	Child worries about many things	0
A dare devil	Comforts Child who Is Upset	0
A dare devil	Cries Easily	0
A dare devil	Cries for little cause	0
A dare devil	Destroys Own Others Belongings	0
A dare devil	Destroys own or others' belongings (eg tears or breaks)	0
A dare devil	Diffident about competing with other children	0
A dare devil	Displays outbursts of temper, explosive or unpredictable behaviour	0
A dare devil	Do people annoy and irritate you	0
A dare devil	Do you often feel depressed	0
A dare devil	Do you often feel tired most of the time	0
A dare devil	Do you often get into a violent rage	0
A dare devil	Do you often get worried about things	0
A dare devil	Do you often have backache	0
A dare devil	Do you often have bad headaches	0
A dare devil	Do you often have bad pain in eyes	0
A dare devil	Do you suddenly become scared for no good reason	1
A dare devil	Do you suffer from an upset stomach	0
A dare devil	Do you suffer from indigestion	0
A dare devil	Do you usually have great difficulty in falling or staying asleep	0
A dare devil	Do you usually wake unnecessarily early in the morning	0
A dare devil	Do you wear yourself out worrying about your health	0
A dare devil	Does every little thing get on your nerves and wear you out	0
A dare devil	Does not seem able to make friends	0
A dare devil	Does not unduly avoid or seek attention	0
A dare devil	Does things on Own	0
A dare devil	Does your heart often race like mad	0
A dare devil	Doesnt Share Toys	0
A dare devil	Drops things which are being carried	0
A dare devil	Enjoys Pretend Games	0
A dare devil	Extremely energetic, never tired	0
A dare devil	Extremely fearful	1
A dare devil	Extremely neat and tidy in class work	0
A dare devil	Fails to finish things he	0
A dare devil	Felt capable of making decisions about things	0
