Supplementary File 2. Correlaiton and cosine coefficients for item pairs,,,,,
,from,to,spearman,cosine,sample
1,1,10,0.719538559,0.61149627,1
2,1,11,0.719244021,0.445720732,1
3,1,12,0.731182941,0.711875081,1
4,1,13,0.665979411,0.571581244,1
5,1,14,0.703580795,0.511955619,1
6,1,15,0.709961188,0.297138691,1
7,1,16,0.691486691,0.50184983,1
8,1,17,0.608636306,0.259960353,1
9,1,18,0.738485659,0.37026453,1
10,1,19,0.798613012,0.879561961,1
11,1,2,0.824578169,0.496798843,1
12,1,20,0.573991369,0.572757006,2
13,1,21,0.628075543,0.655307412,2
14,1,22,0.625625193,0.354875147,2
15,1,23,0.718334673,0.681931853,2
16,1,24,0.683265023,0.334293664,1
17,1,25,0.587003714,0.53709048,1
18,1,26,0.600920196,0.465757042,2
19,1,27,0.704853475,0.660870075,1
20,1,28,0.713992086,0.404461652,1
21,1,29,0.707630359,0.424596488,1
22,1,3,0.745340878,0.359472722,1
23,1,30,0.681989565,0.414205402,2
24,1,31,0.636786179,0.489094317,1
25,1,32,0.674674903,0.539687932,1
26,1,33,0.677043543,0.426034749,2
27,1,34,0.562673826,0.265443861,1
28,1,35,0.573760677,0.34841758,1
29,1,36,0.583868722,0.335268021,1
30,1,37,0.573185499,0.205475241,1
31,1,38,0.557325407,0.340345562,1
32,1,39,0.636484228,0.54087007,2
33,1,4,0.762497555,0.530953705,1
34,1,5,0.786079462,0.51049453,1
35,1,6,0.637573254,0.456329554,1
36,1,7,0.685705495,0.376291752,1
37,1,8,0.689346286,0.570112944,1
38,1,9,0.709713777,0.472501397,1
39,10,11,0.832041425,0.598581076,1
40,10,12,0.79159927,0.783895969,1
41,10,13,0.681980609,0.479648799,1
42,10,14,0.77158662,0.596368313,1
43,10,15,0.718189686,0.525273919,1
44,10,16,0.730037744,0.465720415,1
45,10,17,0.654214034,0.286462128,1
46,10,18,0.635456902,0.398749232,1
47,10,19,0.683160165,0.619822502,1
48,10,20,0.557799891,0.408624798,2
49,10,21,0.622994618,0.525881469,1
50,10,22,0.574678951,0.324954093,1
51,10,23,0.662844971,0.432742596,1
52,10,24,0.634256972,0.334180951,1
53,10,25,0.518217728,0.468021423,1
54,10,26,0.520103319,0.297102869,1
55,10,27,0.790776724,0.935302317,1
56,10,28,0.71758966,0.5694502,2
57,10,29,0.7201673,0.57139492,1
58,10,30,0.682095897,0.43315351,2
59,10,31,0.592506612,0.421696216,1
60,10,32,0.658876964,0.487100035,1
61,10,33,0.676302312,0.603334785,1
62,10,34,0.541265749,0.322307646,2
63,10,35,0.52759151,0.311759412,1
64,10,36,0.532971311,0.396995604,1
65,10,37,0.53499029,0.243061751,1
66,10,38,0.553356973,0.320354581,1
67,10,39,0.615650349,0.739783227,1
68,11,12,0.797893464,0.403386265,1
69,11,13,0.700250778,0.218152732,1
70,11,14,0.768447682,0.384991586,1
71,11,15,0.736362972,0.392611802,1
72,11,16,0.742656779,0.549203038,1
73,11,17,0.664513084,0.272827476,1
74,11,18,0.650074509,0.417695761,1
75,11,19,0.694097789,0.394778132,1
76,11,20,0.579238669,0.39728111,1
77,11,21,0.636562997,0.37114495,1
78,11,22,0.584350199,0.283816844,1
79,11,23,0.662554174,0.354495466,1
80,11,24,0.645962991,0.486450672,1
81,11,25,0.523564609,0.355423033,1
82,11,26,0.530254527,0.33121562,1
83,11,27,0.759833137,0.630946398,1
84,11,28,0.747915897,0.704150915,1
85,11,29,0.781510933,0.952803373,2
86,11,30,0.703998518,0.419485033,1
87,11,31,0.594168487,0.348505676,1
88,11,32,0.667264006,0.413966745,1
89,11,33,0.681486738,0.596002758,1
90,11,34,0.554779136,0.303950131,1
91,11,35,0.550084734,0.327687114,2
92,11,36,0.551927928,0.339834332,1
93,11,37,0.560213305,0.351519525,1
94,11,38,0.557477792,0.280812591,1
95,11,39,0.631242494,0.3881163,1
96,12,13,0.740208471,0.61200738,1
97,12,14,0.822267411,0.624580622,1
98,12,15,0.777863928,0.567862451,2
99,12,16,0.777088179,0.543509483,2
100,12,17,0.682535488,0.329772621,1
101,12,18,0.668259232,0.351351857,2
102,12,19,0.708985725,0.705465198,1
103,12,20,0.590640842,0.460185051,1
104,12,21,0.658899534,0.579393566,1
105,12,22,0.619369811,0.321879953,2
106,12,23,0.692510148,0.539981961,1
107,12,24,0.693420383,0.321423501,1
108,12,25,0.585779478,0.509136021,1
109,12,26,0.580867827,0.300893188,1
110,12,27,0.762568182,0.741555095,1
111,12,28,0.73223608,0.40522027,1
112,12,29,0.730846583,0.345429957,2
113,12,30,0.732008911,0.44745335,1
114,12,31,0.658562466,0.453947484,1
115,12,32,0.722621,0.607652545,1
116,12,33,0.699053095,0.49117589,1
117,12,34,0.564637016,0.349970341,1
118,12,35,0.574181044,0.341514975,2
119,12,36,0.601002285,0.444286764,1
120,12,37,0.592483304,0.263147891,2
121,12,38,0.57988053,0.27455318,2
122,12,39,0.674734512,0.68355608,1
123,13,14,0.770895802,0.41824913,1
124,13,15,0.727750733,0.295853019,2
125,13,16,0.67557302,0.309717953,1
126,13,17,0.64141285,0.398516893,1
127,13,18,0.643625885,0.202334106,2
128,13,19,0.651917416,0.533088803,1
129,13,20,0.554684148,0.433950007,1
130,13,21,0.58035303,0.512176692,1
131,13,22,0.609350732,0.399316728,1
132,13,23,0.644344424,0.475912452,1
133,13,24,0.657324165,0.145498589,1
134,13,25,0.621281409,0.464845717,1
135,13,26,0.605832109,0.35120827,1
136,13,27,0.685806359,0.519637227,1
137,13,28,0.675410986,0.206550941,2
138,13,29,0.670287072,0.184810624,2
139,13,30,0.661120653,0.230134904,1
140,13,31,0.669931436,0.308684707,1
141,13,32,0.635554834,0.345241934,1
142,13,33,0.67268356,0.387732208,1
143,13,34,0.597889071,0.347011089,1
